,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
540,Bachelors,2016,Bangalore,3,25,Male,No,3,0
541,Bachelors,2018,Bangalore,3,24,Male,No,2,1
543,Bachelors,2013,Bangalore,3,24,Male,No,2,0
544,Bachelors,2013,Bangalore,3,28,Male,No,2,0
549,Bachelors,2012,Bangalore,3,26,Male,No,4,0
551,Bachelors,2013,Bangalore,1,28,Male,No,3,1
553,Bachelors,2013,Bangalore,3,27,Male,No,5,0
555,Bachelors,2017,Bangalore,3,27,Male,No,5,0
556,Bachelors,2012,Bangalore,3,24,Male,No,2,0
558,Bachelors,2014,Bangalore,3,28,Female,No,1,1
559,Bachelors,2015,Bangalore,3,25,Male,No,3,0
561,Bachelors,2017,Bangalore,3,24,Female,No,2,0
562,Bachelors,2016,Bangalore,3,27,Female,No,5,1
563,Bachelors,2012,Bangalore,3,25,Male,No,3,0
568,Bachelors,2012,Bangalore,3,26,Male,No,4,0
569,Bachelors,2016,Bangalore,3,26,Male,No,4,0
572,Bachelors,2013,Bangalore,3,28,Male,Yes,3,0
573,Bachelors,2017,Bangalore,3,25,Male,No,3,0
574,Bachelors,2018,Bangalore,3,27,Male,No,5,1
575,Bachelors,2017,Bangalore,3,26,Male,No,4,0
582,Bachelors,2016,Bangalore,3,25,Female,No,3,0
584,Bachelors,2014,Bangalore,3,25,Male,No,3,0
585,Bachelors,2014,Bangalore,3,25,Male,No,3,1
586,PHD,2018,Bangalore,3,26,Male,No,4,1
588,Bachelors,2014,Bangalore,3,27,Male,No,5,0
589,Bachelors,2012,Bangalore,3,25,Male,No,3,0
592,PHD,2017,Bangalore,3,28,Male,No,1,0
593,Bachelors,2014,Bangalore,3,27,Male,No,5,0
595,Bachelors,2018,Bangalore,1,27,Male,No,5,0
597,Bachelors,2012,Bangalore,3,25,Male,No,3,0
598,Bachelors,2017,Bangalore,3,27,Male,No,5,0
599,Bachelors,2016,Bangalore,3,28,Male,No,2,0
601,Bachelors,2013,Bangalore,3,25,Male,No,3,0
602,Bachelors,2013,Bangalore,3,28,Male,No,1,0
603,Bachelors,2018,Bangalore,3,28,Female,No,3,1
604,Bachelors,2016,Bangalore,3,27,Male,Yes,5,0
612,Bachelors,2016,Bangalore,3,26,Male,No,4,0
615,Bachelors,2012,Bangalore,3,26,Male,No,4,0
618,Bachelors,2016,Bangalore,3,26,Male,No,4,1
619,Bachelors,2013,Bangalore,3,26,Male,Yes,4,0
620,Bachelors,2014,Bangalore,3,28,Male,No,3,1
624,Masters,2017,Bangalore,3,27,Male,No,5,1
625,Bachelors,2015,Bangalore,3,25,Male,No,3,0
629,Bachelors,2013,Bangalore,3,25,Male,Yes,3,0
631,PHD,2013,Bangalore,1,26,Male,No,4,0
633,Bachelors,2016,Bangalore,1,28,Male,No,2,0
634,Bachelors,2017,Bangalore,3,27,Male,No,5,0
635,Bachelors,2017,Bangalore,3,25,Male,No,3,0
637,Bachelors,2015,Bangalore,1,25,Female,Yes,3,0
638,Bachelors,2018,Bangalore,3,27,Male,No,5,1
639,Bachelors,2014,Bangalore,3,26,Male,No,4,0
640,Bachelors,2018,Bangalore,3,26,Male,No,4,1
642,Bachelors,2018,Bangalore,3,27,Male,No,5,1
643,Bachelors,2016,Bangalore,3,27,Female,No,5,0
646,Bachelors,2018,Bangalore,3,24,Female,No,2,1
648,Bachelors,2015,Bangalore,3,27,Male,No,5,0
649,Bachelors,2017,Bangalore,3,26,Male,No,4,0
650,Bachelors,2016,Bangalore,3,25,Male,No,3,0
653,Bachelors,2014,Bangalore,3,28,Female,No,3,0
655,Bachelors,2016,Bangalore,3,26,Female,No,4,0
656,Bachelors,2018,Bangalore,1,25,Male,Yes,3,0
659,Bachelors,2017,Bangalore,3,25,Male,No,3,0
660,Bachelors,2016,Bangalore,3,28,Female,No,3,0
661,Bachelors,2014,Bangalore,3,28,Female,No,2,0
665,Bachelors,2017,Bangalore,3,24,Male,No,2,0
666,Bachelors,2017,Bangalore,3,26,Female,No,4,0
667,Bachelors,2015,Bangalore,1,25,Male,No,3,0
668,Bachelors,2016,Bangalore,3,26,Female,No,4,0
673,Bachelors,2017,Bangalore,3,26,Male,No,4,0
677,Bachelors,2014,Bangalore,3,25,Female,No,3,1
679,Bachelors,2017,Bangalore,1,26,Female,No,4,0
680,Bachelors,2013,Bangalore,3,24,Male,No,2,1
688,Bachelors,2013,Bangalore,3,26,Male,No,4,0
692,Bachelors,2018,Bangalore,3,27,Male,No,5,1
693,Bachelors,2015,Bangalore,3,25,Female,No,3,1
696,Bachelors,2017,Bangalore,3,26,Male,No,4,0
701,Bachelors,2015,Bangalore,3,27,Male,Yes,5,0
702,Bachelors,2015,Bangalore,3,26,Male,No,4,0
704,Bachelors,2017,Bangalore,3,26,Female,No,4,0
705,Bachelors,2014,Bangalore,3,26,Male,No,4,0
706,Bachelors,2015,Bangalore,3,28,Male,Yes,1,1
709,Masters,2013,Bangalore,3,27,Male,No,5,1
710,Bachelors,2017,Bangalore,3,27,Male,No,5,0
714,Bachelors,2017,Bangalore,3,27,Female,No,5,0
715,Bachelors,2016,Bangalore,3,26,Male,No,4,0
717,Bachelors,2015,Bangalore,3,26,Male,No,4,0
718,Bachelors,2018,Bangalore,3,27,Male,Yes,5,1
719,Bachelors,2016,Bangalore,3,24,Male,No,2,0
720,Bachelors,2014,Bangalore,3,24,Male,No,2,0
722,Bachelors,2012,Bangalore,3,26,Female,No,4,0
724,Bachelors,2018,Bangalore,3,26,Male,No,4,1
725,Bachelors,2016,Bangalore,3,24,Female,No,2,0
728,Bachelors,2013,Bangalore,3,28,Male,Yes,1,1
729,Bachelors,2015,Bangalore,1,28,Female,No,1,0
730,PHD,2018,Bangalore,3,24,Female,No,2,1
731,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0
732,Bachelors,2013,Bangalore,3,27,Male,No,5,0
733,Bachelors,2013,Bangalore,3,25,Male,No,3,1
736,Bachelors,2013,Bangalore,3,28,Male,No,3,0
737,Bachelors,2018,Bangalore,3,28,Male,No,1,1
738,Bachelors,2017,Bangalore,3,24,Male,No,2,0
741,Bachelors,2017,Bangalore,3,25,Female,No,3,0
743,Bachelors,2015,Bangalore,3,27,Female,No,5,0
745,Bachelors,2012,Bangalore,3,28,Male,No,3,0
746,Bachelors,2012,Bangalore,3,25,Female,No,3,0
747,Bachelors,2015,Bangalore,3,24,Female,No,2,0
749,Bachelors,2013,Bangalore,3,26,Female,No,4,0
751,Masters,2017,Bangalore,3,28,Female,No,3,1
752,Bachelors,2015,Bangalore,3,25,Male,No,3,1
753,Bachelors,2012,Bangalore,3,28,Female,No,2,0
755,Bachelors,2012,Bangalore,3,27,Female,No,5,0
760,Bachelors,2014,Bangalore,3,24,Male,No,2,0
761,Bachelors,2016,Bangalore,3,28,Male,No,3,0
766,Bachelors,2014,Bangalore,3,24,Male,No,2,0
767,Bachelors,2018,Bangalore,3,26,Male,No,4,1
768,Bachelors,2013,Bangalore,3,26,Male,No,4,0
773,Bachelors,2017,Bangalore,3,24,Female,No,2,0
775,Bachelors,2013,Bangalore,1,28,Female,No,2,0
776,Masters,2014,Bangalore,3,27,Female,No,5,1
777,Bachelors,2013,Bangalore,3,26,Male,No,4,0
778,Bachelors,2016,Bangalore,3,25,Male,No,3,0
781,Bachelors,2013,Bangalore,3,26,Male,No,4,0
784,Bachelors,2016,Bangalore,3,25,Male,Yes,3,0
785,Bachelors,2017,Bangalore,3,25,Male,No,3,1
787,Bachelors,2018,Bangalore,3,24,Male,No,2,1
789,Bachelors,2017,Bangalore,3,26,Male,No,4,0
793,Bachelors,2012,Bangalore,3,24,Male,No,2,0
796,Bachelors,2016,Bangalore,3,25,Male,No,3,0
798,Bachelors,2016,Bangalore,3,26,Male,No,4,0
799,Bachelors,2013,Bangalore,3,24,Male,No,2,0
801,Bachelors,2014,Bangalore,3,24,Male,No,2,0
802,Bachelors,2017,Bangalore,3,27,Female,No,5,1
806,Bachelors,2017,Bangalore,3,24,Female,Yes,2,0
808,Bachelors,2017,Bangalore,3,27,Male,No,5,0
815,Masters,2017,Bangalore,2,25,Female,Yes,3,1
816,Bachelors,2017,Bangalore,3,24,Female,No,2,1
817,Bachelors,2013,Bangalore,3,26,Female,No,4,0
818,Bachelors,2018,Bangalore,3,24,Male,Yes,2,1
821,Bachelors,2017,Bangalore,3,25,Male,No,3,0
822,Bachelors,2017,Bangalore,3,25,Male,No,3,0
823,Bachelors,2017,Bangalore,3,24,Male,No,2,1
825,Bachelors,2012,Bangalore,3,27,Female,No,5,0
827,Bachelors,2017,Bangalore,3,28,Male,No,2,1
828,Bachelors,2012,Bangalore,3,28,Male,Yes,3,1
830,Bachelors,2018,Bangalore,3,24,Female,No,2,1
834,Bachelors,2015,Bangalore,3,26,Female,No,4,0
836,Bachelors,2014,Bangalore,3,27,Male,No,5,0
838,Bachelors,2015,Bangalore,3,26,Female,No,4,1
840,Bachelors,2012,Bangalore,3,26,Female,No,4,0
846,Bachelors,2018,Bangalore,3,25,Male,No,3,1
847,Bachelors,2014,Bangalore,3,25,Female,No,3,0
860,Bachelors,2015,Bangalore,3,27,Male,No,5,1
861,Bachelors,2015,Bangalore,3,24,Male,No,2,1
862,Bachelors,2018,Bangalore,3,24,Male,No,2,1
864,Bachelors,2012,Bangalore,3,28,Female,No,2,0
868,Bachelors,2012,Bangalore,3,26,Male,No,4,0
871,Masters,2014,Bangalore,3,27,Male,No,5,1
876,Bachelors,2015,Bangalore,3,28,Male,Yes,2,0
878,Bachelors,2017,Bangalore,2,27,Male,No,5,0
879,Bachelors,2016,Bangalore,3,24,Male,No,2,0
880,Bachelors,2017,Bangalore,3,27,Male,No,5,0
881,Bachelors,2014,Bangalore,3,26,Male,No,4,1
882,Bachelors,2017,Bangalore,3,24,Female,No,2,0
883,Bachelors,2017,Bangalore,3,28,Male,No,1,0
884,Bachelors,2014,Bangalore,3,26,Male,No,4,1
885,Bachelors,2018,Bangalore,3,28,Female,No,3,1
887,Bachelors,2017,Bangalore,1,27,Male,No,5,0
889,Bachelors,2017,Bangalore,3,27,Male,No,5,0
891,Bachelors,2014,Bangalore,3,25,Male,No,3,0
892,Bachelors,2017,Bangalore,3,25,Female,No,3,0
893,Bachelors,2018,Bangalore,3,25,Male,No,3,1
894,Bachelors,2013,Bangalore,3,28,Female,No,3,0
896,Bachelors,2013,Bangalore,3,27,Male,No,5,0
898,Bachelors,2014,Bangalore,3,24,Male,No,2,0
902,Bachelors,2014,Bangalore,3,25,Male,No,3,0
903,Bachelors,2014,Bangalore,3,28,Male,No,3,0
904,Bachelors,2018,Bangalore,3,26,Male,No,4,1
905,Masters,2017,Bangalore,3,28,Male,No,1,1
906,Bachelors,2018,Bangalore,3,27,Male,Yes,5,1
907,Bachelors,2017,Bangalore,3,28,Male,Yes,1,0
908,Bachelors,2016,Bangalore,3,25,Male,No,3,0
911,Bachelors,2014,Bangalore,3,24,Female,No,2,0
912,Bachelors,2012,Bangalore,3,26,Male,No,4,0
915,Bachelors,2014,Bangalore,3,26,Male,No,4,0
916,Bachelors,2017,Bangalore,3,27,Male,No,5,0
918,Bachelors,2015,Bangalore,3,28,Female,No,1,0
919,Bachelors,2014,Bangalore,3,24,Male,No,2,0
922,Bachelors,2015,Bangalore,3,26,Male,No,4,0
924,Bachelors,2018,Bangalore,3,25,Male,Yes,3,1
925,Bachelors,2016,Bangalore,3,26,Male,No,4,0
926,Bachelors,2015,Bangalore,3,27,Female,No,5,1
928,Bachelors,2014,Bangalore,3,27,Male,No,5,0
930,Bachelors,2012,Bangalore,3,28,Male,No,3,0
933,Masters,2012,Bangalore,3,27,Male,No,5,1
934,Bachelors,2018,Bangalore,3,25,Female,No,3,1
937,Bachelors,2013,Bangalore,3,27,Male,No,5,0
938,Masters,2017,Bangalore,2,28,Male,Yes,2,1
941,Bachelors,2016,Bangalore,3,28,Male,No,3,0
943,Bachelors,2018,Bangalore,3,25,Male,No,3,1
947,Bachelors,2012,Bangalore,3,25,Female,Yes,3,0
948,Bachelors,2017,Bangalore,3,25,Male,Yes,3,0
949,Bachelors,2013,Bangalore,3,28,Female,No,1,1
951,Bachelors,2014,Bangalore,3,25,Male,No,3,0
959,Bachelors,2015,Bangalore,3,26,Male,No,4,0
961,PHD,2016,Bangalore,3,27,Male,No,5,0
962,Bachelors,2018,Bangalore,3,24,Male,No,2,1
964,Bachelors,2012,Bangalore,3,26,Male,No,4,0
965,Bachelors,2017,Bangalore,3,28,Male,No,3,0
971,Bachelors,2017,Bangalore,3,24,Male,No,2,0
974,Bachelors,2018,Bangalore,3,24,Male,No,2,1
979,Bachelors,2016,Bangalore,1,27,Female,No,5,0
981,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0
983,Bachelors,2013,Bangalore,3,24,Male,No,2,0
984,Bachelors,2015,Bangalore,3,25,Female,No,3,0
